Id,Species,SepalLenCm,SepalWidCm,PetalLenCm,PetalWidCm
128,Iris-virginica,6.1,3,4.9,1.8
130,Iris-virginica,7.2,3,5.8,1.6
136,Iris-virginica,7.7,3,6.1,2.3
139,Iris-virginica,6,3,4.8,1.8
146,Iris-virginica,6.7,3,5.2,2.3
148,Iris-virginica,6.5,3,5.2,2
150,Iris-virginica,5.9,3,5.1,1.8
9,Iris-setosa,4.4,2.9,1.4,0.2
59,Iris-versicolor,6.6,2.9,4.6,1.3
64,Iris-versicolor,6.1,2.9,4.7,1.4
65,Iris-versicolor,5.6,2.9,3.6,1.3
75,Iris-versicolor,6.4,2.9,4.3,1.3
79,Iris-versicolor,6,2.9,4.5,1.5
97,Iris-versicolor,5.7,2.9,4.2,1.3
98,Iris-versicolor,6.2,2.9,4.3,1.3
104,Iris-virginica,6.3,2.9,5.6,1.8
108,Iris-virginica,7.3,2.9,6.3,1.8
55,Iris-versicolor,6.5,2.8,4.6,1.5
56,Iris-versicolor,5.7,2.8,4.5,1.3
72,Iris-versicolor,6.1,2.8,4,1.3
74,Iris-versicolor,6.1,2.8,4.7,1.2
77,Iris-versicolor,6.8,2.8,4.8,1.4
100,Iris-versicolor,5.7,2.8,4.1,1.3
115,Iris-virginica,5.8,2.8,5.1,2.4
122,Iris-virginica,5.6,2.8,4.9,2
123,Iris-virginica,7.7,2.8,6.7,2
127,Iris-virginica,6.2,2.8,4.8,1.8
129,Iris-virginica,6.4,2.8,5.6,2.1
131,Iris-virginica,7.4,2.8,6.1,1.9
133,Iris-virginica,6.4,2.8,5.6,2.2
134,Iris-virginica,6.3,2.8,5.1,1.5
60,Iris-versicolor,5.2,2.7,3.9,1.4
68,Iris-versicolor,5.8,2.7,4.1,1
83,Iris-versicolor,5.8,2.7,3.9,1.2
84,Iris-versicolor,6,2.7,5.1,1.6
95,Iris-versicolor,5.6,2.7,4.2,1.3
102,Iris-virginica,5.8,2.7,5.1,1.9
112,Iris-virginica,6.4,2.7,5.3,1.9
124,Iris-virginica,6.3,2.7,4.9,1.8
143,Iris-virginica,5.8,2.7,5.1,1.9
80,Iris-versicolor,5.7,2.6,3.5,1
91,Iris-versicolor,5.5,2.6,4.4,1.2
93,Iris-versicolor,5.8,2.6,4,1.2
119,Iris-virginica,7.7,2.6,6.9,2.3
135,Iris-virginica,6.1,2.6,5.6,1.4
70,Iris-versicolor,5.6,2.5,3.9,1.1
73,Iris-versicolor,6.3,2.5,4.9,1.5
90,Iris-versicolor,5.5,2.5,4,1.3
99,Iris-versicolor,5.1,2.5,3,1.1
107,Iris-virginica,4.9,2.5,4.5,1.7
109,Iris-virginica,6.7,2.5,5.8,1.8
114,Iris-virginica,5.7,2.5,5,2
147,Iris-virginica,6.3,2.5,5,1.9
58,Iris-versicolor,4.9,2.4,3.3,1
81,Iris-versicolor,5.5,2.4,3.8,1.1
82,Iris-versicolor,5.5,2.4,3.7,1
42,Iris-setosa,4.5,2.3,1.3,0.3
54,Iris-versicolor,5.5,2.3,4,1.3
88,Iris-versicolor,6.3,2.3,4.4,1.3
94,Iris-versicolor,5,2.3,3.3,1
63,Iris-versicolor,6,2.2,4,1
69,Iris-versicolor,6.2,2.2,4.5,1.5
120,Iris-virginica,6,2.2,5,1.5
61,Iris-versicolor,5,2,3.5,1
